Instagram,WhatsApp,CNPJ,Razão Social,Razao Social,Nome Fantasia,Logradouro,N,Bairro,Cidade,Estado,CEP
Bravo,‪92 99158‑6617‬,47.390.378/0001-02,D Rodrigues Paes Barreto,D RODRIGUES PAES BARRETO,BRAVO BAR E GRELHA,,,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053150
Caldeira,92 99982-7535,00.492.198/0001-78,NT Caldeira Bar e Restaurante Ltda,BAR CALDEIRA COMERCIO DE BEBIDAS LTDA,BAR CALDEIRA,JOSE CLEMENTE,237,CENTRO,MANAUS,AM,69010070
Bar do armando,92 3232-1195,04.401.469/0001-93,Armando de Oliveira Dias (Registro Local),CASA NOSSA SENHORA DE NAZARE LTDA,BAR DO ARMANDO,DEZ DE JULHO,593,CENTRO,MANAUS,AM,69010060
Benedito bar,,51.083.097/0001-84,IRS Restaurante e Bar Ltda,IRS RESTAURANTE E BAR LTDA,BENEDITO BAR MANAUS,JOSE CLEMENTE,634,CENTRO,MANAUS,AM,69010070
Salomé Bar,92 98512-5364,21.843.199/0001-90,J G de Souza Bar e Restaurante,CEREVISIA SERVICOS DE BAR E RESTAURANTE LTDA,,RIO AMAPA,05,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053150
Meet,‪92 98522‑2338‬,35.689.193/0001-14,Meet Cozinha Boemia Ltda,G F SAMPAIO,MEET COZINHA BOHEMIA,,,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053180
Tambagrill,92 99532‑0488‬,14.419.390/0001-43,Restaurante Tambagrill Ltda,TAMBAGRILL RESTAURANTE LTDA,TAMBAGRILL,JOAO ALFREDO,739,SAO GERALDO,MANAUS,AM,69053270
Mercê,92 98107‑4370‬,46.887.561/0001-55,Mercearia e Restaurante Merce Ltda,MERCE RESTAURANTE LTDA.,MERCE RESTAURANTE,JORNALISTA UMBERTO CALDERARO FILHO,455,ADRIANOPOLIS,MANAUS,AM,69057015
Tio Armênio,92 3307-2209,19.997.897/0001-06,Restaurante Tio Armênio Manaus Ltda,LMD RESTAURANTE LTDA,TIO ARMENIO,MARIO YPIRANGA,1300,ADRIANOPOLIS,MANAUS,AM,69057002
Tambaqui de banda,92 98554-9513,13.258.576/0001-03,M R de Lima - Restaurante,TDB ALIMENTACAO LTDA,TAMBAQUI DE BANDA,TANCREDO NEVES,09,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69054040
Farrapo,92 98503-3279,42.439.147/0001-22,Farrapo Cozinha Regional Ltda,VERDUGO RESTAURANTE E BAR LTDA,,COSTA AZEVEDO,147,CENTRO,MANAUS,AM,69010230
PDL,92 99432-6157,43.870.064/0001-56,Restaurante Porto de Lenha Ltda,RESTAURANTE E SALGADERIA PORTO DE LENHA LTDA,RESTAURANTE E SALGADERIA PORTO DE LENHA,CORONEL SERGIO PESSOA,121,CENTRO,MANAUS,AM,69005030
Tasquinha do tio,92 98593-6247,54.080.316/0001-60,Tasquinha Manaus Restaurante Ltda,JT RESTAURANTE LTDA,TASQUINHA DO TIO,RIO AMAPA,18,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053150
Goiaba ,---------------------------,56.174.731/0001-08,Goiaba Bar e Burguer Ltda,JS BUSINESS LTDA,GOIABA BAR,RENE DE NAPOLIS,300,ADRIANOPOLIS,MANAUS,AM,69057580
