Instagram,CNPJ,Contato,Razão Social / Nome de Registro,,,,,,,
Uber,17.895.646/0040-93,,UBER DO BRASIL TECNOLOGIA LTDA.,,DJALMA BATISTA,1719,CHAPADA,MANAUS,AM,69050010
Engeco,04.959.557/0001-05,(92) 3643-1100,ENGECO ENGENHARIA E CONSTRUCOES LTDA,,MARIO YPIRANGA,315,ADRIANOPOLIS,MANAUS,AM,69057000
SKN Incorporadora,27.985.273/0001-99,(92) 99114-1709,SKN CONNECT TOWER EMPREENDIMENTO IMOBILIARIO SPE LTDA,SKN INCORPORADORA,SALVADOR,440,ADRIANOPOLIS,MANAUS,AM,69057040
Cristal Engenharia,02.402.223/0001-00,(92) 3303-3000,CRISTAL ENGENHARIA LTDA,,JORNALISTA UMBERTO CALDERARO FILHO,455,ADRIANOPOLIS,MANAUS,AM,69057015
RD Engenharia,00.673.788/0001-05,(92) 3622-6027,RD ENGENHARIA LTDA. EM RECUPERACAO JUDICIAL,R D ENGENHARIA,JACIRA REIS,1.315,DOM PEDRO I,MANAUS,AM,69040270
Civilcorp,03.187.301/0001-64,(92) 3642-4212,CIVILCORP - INCORPORACOES LTDA,,ANDRE ARAUJO,2755,ALEIXO,MANAUS,AM,69060000
Belo Sorrir,45.401.913/0001-58,(92) 98489-1688,BELO SORRIR LTDA,BELO SORRIR,DJALMA BATISTA,2100,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055972
Sabin Medicina,00.718.528/0104-06,0800 703 0200,LABORATORIO SABIN DE ANALISES CLINICAS S.A.,,SAO LUIZ,510,ADRIANOPOLIS,MANAUS,AM,69057250
Fametro,03.817.341/0006-57,(92) 2101-1000,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,FAMETRO,PROFESSOR ERNANI SIMAO,1160,CACHOEIRINHA,MANAUS,AM,69065060
Martha Falcão,04.162.681/0001-45,(92) 2121-0909,CASA DO IDOSO SAO VICENTE DE PAULO,,JERONIMO RIBEIRO,14,SAO RAIMUNDO,MANAUS,AM,69027100
Nilton Lins,04.803.904/0001-06,(92) 3643-2000,CENTRO DE ENSINO SUPERIOR NILTON LINS,UNIVERSIDADE NILTON LINS,PROFESSOR NILTON LINS,3259,FLORES,MANAUS,AM,69058030
Uninorte,05.474.470/0021-54,(92) 3212-5000,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,UNINORTE MANAUS,10 DE JULHO,873,CENTRO,MANAUS,AM,69010060
IDAAM,41.161.484/0001-38,(92) 3301-6200,ESCOLAS IDAAM - ATIVIDADES EDUCACIONAIS LTDA,ESCOLAS IDAAM,DJALMA BATISTA,1767,CHAPADA,MANAUS,AM,69050010
Braga Motors,11.634.677/0001-06,(92) 2123-5500,BRAGA MOTORS LTDA,,DJALMA BATISTA,3500 C,PARQUE 10,MANAUS,AM,69055038
Murano Veículos,84.492.198/0001-68,(92) 2127-1000,MURANO VEICULOS LTDA,MURANO VEICULOS,COSME FERREIRA,443,ALEIXO,MANAUS,AM,69083000
Shizen Honda,02.518.679/0001-30,(92) 2121-7700,SHIZEN VEICULOS LTDA,,JORNALISTA HUMBERTO CALDERARO FILHO,1973,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055700
Bemol,04.565.289/0001-47,(92) 2129-4400,BEMOL S/A,BEMOL MATRIZ,FLORIANO PEIXOTO,32,CENTRO,MANAUS,AM,69005070
TV Lar,04.561.957/0001-68,0800 726 8300,IMPORTADORA TV LAR LTDA,,HENRIQUE MARTINS,539,CENTRO,MANAUS,AM,69010010
Nova Era,04.240.370/0057-01,(92) 3643-3400,MERCANTIL NOVA ERA LTDA,SUPERATACADO NOVA ERA - TORRES 2,GOVERNADOR JOSE LINDOSO,3007,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69054287
Info Store,02.337.524/0001-06,(92) 2121-2200,INFO STORE COMPUTADORES DA AMAZONIA LTDA,INFO STORE COMPUTADORES DA AMAZONIA,BELO HORIZONTE,686,ALEIXO,MANAUS,AM,69060601
Ramsons,03.341.024/0001-00,(92) 3303-6000,MIR IMPORTACAO E EXPORTACAO LTDA,RAMSON'S,TORQUATO TAPAJOS,25,FLORES,MANAUS,AM,69058830
Comepi,12.711.398/0001-53,(92) 2123-1100,COSMENOVA COMERCIO DE COSMETICOS LTDA,COMEPI,RODRIGO OTAVIO,3810,JAPIIM,MANAUS,AM,69077000
Academia Fórmula,08.044.832/0001-11,(92) 2121-1200,FORMULA ACADEMIA LTDA,FORMULA ACADEMIA PONTA NEGRA,CORONEL TEIXEIRA,5.705,PONTA NEGRA,MANAUS,AM,69037000
Live Academia,18.442.885/0001-44,(92) 3642-3000,C DE QUEIROZ PEDROSA LTDA,LIVE ACADEMIA,MITIKO,397,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69054674
Revemar,41.280.477/0001-55,(92) 3632-0051,REVEMAR COMERCIO DE MOTOS LTDA,REVEMAR - JAPIIM,TEFE,3561,JAPIIM,MANAUS,AM,69078000
Apa Móveis,07.382.118/0001-70,(92) 2127-1000,A. P. A. COMERCIO DE MOVEIS LTDA,APA MOVEIS MATRIZ CD,DA VIVENDA VERDE,5738,TARUMA-ACU,MANAUS,AM,69022380
Mavel,09.247.550/0001-84,(92) 3215-6000,RZD COMERCIO DE VEICULOS LTDA,MAVEL,CORONEL TEIXEIRA,8115,NOVA ESPERANCA,MANAUS,AM,69037473
Califit,26.519.120/0001-93,(92) 3643-2200,CALI ACADEMIA LTDA,CALI FIT ACADEMIA CACHOEIRINHA,URUCARA,1631,CACHOEIRINHA,MANAUS,AM,69065180
Smart Fit,07.594.978/0608-20,(92) 99121-6655,SMARTFIT ESCOLA DE GINASTICA E DANCA S.A,,VISCONDE DE PORTO SEGURO,14,FLORES,MANAUS,AM,69058090
Blue Fit,24.921.465/0083-90,(92) 99335-0010,BLUEFIT ACADEMIAS DE GINASTICA E PARTICIPACOES S.A.,,EPHIGENIO SALLES,1299,ALEIXO,MANAUS,AM,69060020
Wyden,02.153.389/0001-30,(92) 3345-0010,INSTITUTO DE ENSINO SUPERIOR DA AMAZONIA LTDA,FACULDADE MARTHA FALCAO,NATAL,10,ADRIANOPOLIS,MANAUS,AM,69057090
